rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
74,frame_0076.jpg,30.4,0.3976,0.3414,0.1429,0.92,5,1,False,False
75,frame_0303.jpg,121.2,0.3948,0.4742,0.2857,0.36,6,2,False,False
76,frame_0130.jpg,52.0,0.3927,0.3317,0.1429,0.92,3,1,False,False
77,frame_0125.jpg,50.0,0.3921,0.4104,0.1429,0.72,5,1,False,False
78,frame_0096.jpg,38.4,0.3904,0.39,0.5714,0.12,6,4,False,False
79,frame_0280.jpg,112.0,0.3854,0.3536,0.4286,0.4,4,3,False,False
80,frame_0224.jpg,89.6,0.382,0.4588,0.4286,0.12,6,3,False,False
81,frame_0317.jpg,126.8,0.3812,0.4252,0.4286,0.2,7,3,False,False
82,frame_0177.jpg,70.8,0.3789,0.4206,0.4286,0.2,6,3,False,False
83,frame_0032.jpg,12.8,0.3787,0.2716,0.1429,1.0,5,1,False,False
84,frame_0306.jpg,122.4,0.3764,0.3996,0.4286,0.24,5,3,False,False
85,frame_0170.jpg,68.0,0.3755,0.3018,0.4286,0.48,5,3,False,False
86,frame_0395.jpg,158.0,0.3753,0.3597,0.5714,0.12,6,4,False,False
87,frame_0387.jpg,154.8,0.3734,0.4954,0.2857,0.2,6,2,False,False
88,frame_0012.jpg,4.8,0.3714,0.2571,0.1429,1.0,2,1,False,False
89,frame_0028.jpg,11.2,0.3712,0.2566,0.1429,1.0,3,1,False,False
90,frame_0080.jpg,32.0,0.3711,0.2667,0.2857,0.76,4,2,False,False
91,frame_0014.jpg,5.6,0.3693,0.2529,0.1429,1.0,3,1,False,False
92,frame_0123.jpg,49.2,0.3677,0.308,0.2857,0.64,4,2,False,False
93,frame_0397.jpg,158.8,0.3676,0.3981,0.4286,0.2,8,3,False,False
94,frame_0078.jpg,31.2,0.3673,0.2272,0.2857,0.84,6,2,False,False
95,frame_0168.jpg,67.2,0.3656,0.3358,0.2857,0.56,5,2,False,False
96,frame_0033.jpg,13.2,0.3655,0.2452,0.1429,1.0,6,1,False,False
97,frame_0115.jpg,46.0,0.3649,0.3447,0.4286,0.32,5,3,False,False
98,frame_0133.jpg,53.2,0.3648,0.2438,0.1429,1.0,6,1,False,False
99,frame_0030.jpg,12.0,0.3631,0.2404,0.1429,1.0,5,1,False,False
100,frame_0202.jpg,80.8,0.3611,0.3107,0.2857,0.6,4,2,False,False
101,frame_0006.jpg,2.4,0.3609,0.236,0.1429,1.0,3,1,False,False
102,frame_0021.jpg,8.4,0.3531,0.2204,0.1429,1.0,5,1,False,False
103,frame_0281.jpg,112.4,0.353,0.3585,0.2857,0.44,4,2,False,False
104,frame_0095.jpg,38.0,0.3521,0.383,0.4286,0.16,5,3,False,False
105,frame_0210.jpg,84.0,0.3514,0.3451,0.1429,0.68,2,1,False,False
106,frame_0318.jpg,127.2,0.3511,0.349,0.4286,0.24,7,3,False,False
107,frame_0300.jpg,120.0,0.351,0.3385,0.2857,0.48,4,2,False,False
108,frame_0223.jpg,89.2,0.3508,0.3804,0.4286,0.16,4,3,False,False
109,frame_0015.jpg,6.0,0.3494,0.2131,0.1429,1.0,5,1,False,False
110,frame_0024.jpg,9.6,0.3494,0.213,0.1429,1.0,4,1,False,False
111,frame_0230.jpg,92.0,0.3492,0.3932,0.4286,0.12,6,3,False,False
112,frame_0027.jpg,10.8,0.3481,0.2105,0.1429,1.0,4,1,False,False
113,frame_0124.jpg,49.6,0.3479,0.338,0.1429,0.68,4,1,False,False
114,frame_0026.jpg,10.4,0.3471,0.2084,0.1429,1.0,3,1,False,False
115,frame_0378.jpg,151.2,0.3469,0.4046,0.4286,0.08,8,3,False,False
116,frame_0329.jpg,131.6,0.3464,0.4037,0.4286,0.08,10,3,False,False
117,frame_0121.jpg,48.4,0.3461,0.2968,0.2857,0.56,4,2,False,False
118,frame_0132.jpg,52.8,0.3445,0.2032,0.1429,1.0,5,1,False,False
119,frame_0328.jpg,131.2,0.3443,0.3138,0.5714,0.08,10,4,False,False
120,frame_0218.jpg,87.2,0.3423,0.3692,0.2857,0.36,3,2,False,False
121,frame_0368.jpg,147.2,0.3398,0.4064,0.4286,0.04,7,3,False,False
122,frame_0325.jpg,130.0,0.3397,0.3206,0.5714,0.04,5,4,False,False
123,frame_0022.jpg,8.8,0.3373,0.2746,0.0,1.0,1,0,False,False
124,frame_0320.jpg,128.0,0.3357,0.404,0.2857,0.24,6,2,False,False
125,frame_0308.jpg,123.2,0.335,0.3488,0.4286,0.16,6,3,False,False
126,frame_0178.jpg,71.2,0.3339,0.3467,0.4286,0.16,7,3,False,False
127,frame_0106.jpg,42.4,0.3332,0.3933,0.4286,0.04,8,3,False,False
128,frame_0393.jpg,157.2,0.3325,0.4775,0.2857,0.04,3,2,False,False
129,frame_0082.jpg,32.8,0.3292,0.215,0.2857,0.68,5,2,False,False
130,frame_0296.jpg,118.4,0.3246,0.3074,0.1429,0.64,4,1,False,False
131,frame_0275.jpg,110.0,0.3203,0.3034,0.4286,0.2,7,3,False,False
132,frame_0388.jpg,155.2,0.3199,0.4043,0.2857,0.16,8,2,False,False
133,frame_0283.jpg,113.2,0.3176,0.2558,0.2857,0.52,5,2,False,False
134,frame_0185.jpg,74.0,0.3147,0.3403,0.4286,0.08,8,3,False,False
135,frame_0113.jpg,45.2,0.3143,0.2754,0.4286,0.24,6,3,False,False
136,frame_0399.jpg,159.6,0.3125,0.3415,0.2857,0.28,6,2,False,False
137,frame_0271.jpg,108.4,0.3117,0.436,0.2857,0.04,3,2,False,False
138,frame_0290.jpg,116.0,0.3098,0.2139,0.1429,0.8,6,1,False,False
139,frame_0097.jpg,38.8,0.3062,0.3232,0.4286,0.08,5,3,False,False
140,frame_0081.jpg,32.4,0.3047,0.2357,0.1429,0.72,5,1,False,False
141,frame_0321.jpg,128.4,0.3045,0.3575,0.2857,0.2,7,2,False,False
142,frame_0282.jpg,112.8,0.3035,0.2435,0.2857,0.48,6,2,False,False
143,frame_0009.jpg,3.6,0.3026,0.2052,0.0,1.0,2,0,False,False
144,frame_0090.jpg,36.0,0.3015,0.3733,0.1429,0.36,4,1,False,False
145,frame_0307.jpg,122.8,0.3015,0.3515,0.2857,0.2,6,2,False,False
146,frame_0372.jpg,148.8,0.3009,0.3823,0.2857,0.12,6,2,False,False
147,frame_0089.jpg,35.6,0.2986,0.2657,0.2857,0.4,5,2,False,False
148,frame_0398.jpg,159.2,0.2982,0.329,0.2857,0.24,9,2,False,False
149,frame_0229.jpg,91.6,0.2959,0.3026,0.4286,0.08,8,3,False,False
150,frame_0116.jpg,46.4,0.2954,0.361,0.1429,0.36,5,1,False,False
151,frame_0019.jpg,7.6,0.2949,0.1897,0.0,1.0,2,0,False,False
152,frame_0084.jpg,33.6,0.2934,0.2611,0.1429,0.6,3,1,False,False
153,frame_0013.jpg,5.2,0.2931,0.1861,0.0,1.0,4,0,False,False
154,frame_0267.jpg,106.8,0.2907,0.362,0.2857,0.12,4,2,False,False
155,frame_0083.jpg,33.2,0.2906,0.2394,0.1429,0.64,3,1,False,False
156,frame_0020.jpg,8.0,0.2891,0.1782,0.0,1.0,1,0,False,False
157,frame_0025.jpg,10.0,0.2871,0.1741,0.0,1.0,3,0,False,False
158,frame_0192.jpg,76.8,0.2853,0.3191,0.2857,0.2,4,2,False,False
159,frame_0183.jpg,73.2,0.2836,0.3798,0.2857,0.04,4,2,False,False
160,frame_0174.jpg,69.6,0.2829,0.352,0.1429,0.32,4,1,False,False
161,frame_0278.jpg,111.2,0.2829,0.2664,0.2857,0.32,8,2,False,False
162,frame_0109.jpg,43.6,0.2828,0.2765,0.4286,0.08,6,3,False,False
163,frame_0379.jpg,151.6,0.2824,0.2916,0.4286,0.04,10,3,False,False
164,frame_0175.jpg,70.0,0.2823,0.2812,0.2857,0.28,7,2,False,False
165,frame_0114.jpg,45.6,0.2819,0.3661,0.1429,0.28,4,1,False,False
166,frame_0091.jpg,36.4,0.2815,0.3493,0.1429,0.32,3,1,False,False
167,frame_0005.jpg,2.0,0.2812,0.1624,0.0,1.0,5,0,False,False
168,frame_0374.jpg,149.6,0.2805,0.3952,0.1429,0.2,9,1,False,False
169,frame_0214.jpg,85.6,0.2794,0.265,0.1429,0.52,3,1,False,False
170,frame_0332.jpg,132.8,0.2774,0.3674,0.2857,0.04,8,2,False,False
171,frame_0094.jpg,37.6,0.274,0.2966,0.2857,0.2,5,2,False,False
172,frame_0086.jpg,34.4,0.2726,0.2515,0.1429,0.52,4,1,False,False
173,frame_0105.jpg,42.0,0.272,0.3405,0.2857,0.08,6,2,False,False
174,frame_0383.jpg,153.2,0.2708,0.3221,0.2857,0.12,5,2,False,False
175,frame_0179.jpg,71.6,0.2698,0.3202,0.2857,0.12,8,2,False,False
176,frame_0085.jpg,34.0,0.2693,0.2289,0.1429,0.56,5,1,False,False
177,frame_0394.jpg,157.6,0.2683,0.3331,0.2857,0.08,5,2,False,False
178,frame_0203.jpg,81.2,0.2666,0.1915,0.1429,0.64,3,1,False,False
179,frame_0268.jpg,107.2,0.2664,0.3293,0.2857,0.08,6,2,False,False
180,frame_0193.jpg,77.2,0.2621,0.2568,0.2857,0.24,5,2,False,False
181,frame_0120.jpg,48.0,0.2597,0.2257,0.1429,0.52,6,1,False,False
182,frame_0212.jpg,84.8,0.2564,0.1871,0.1429,0.6,3,1,False,False
183,frame_0216.jpg,86.4,0.2564,0.251,0.1429,0.44,5,1,False,False
184,frame_0093.jpg,37.2,0.2563,0.2452,0.2857,0.24,4,2,False,False
185,frame_0386.jpg,154.4,0.2561,0.3304,0.1429,0.24,6,1,False,False
